locus tag	gene name	start	end	gene length	amino acid length	strand
SL1344_P2_0054	pndA	41942	42073	132	43	1
SL1344_3664	SL1344_3664	3915215	3915349	135	44	1
SL1344_4256	SL1344_4256	4584964	4585098	135	44	-1
SL1344_0709	SL1344_0709	793150	793287	138	45	1
SL1344_1738	SL1344_1738	1866784	1866921	138	45	-1
STsORF101	STsORF101	3418253	3418390	138	45	-1
SL1344_0293	SL1344_0293	340233	340373	141	46	1
STsORF21	STsORF21	811791	811931	141	46	1
STsORF24	STsORF24	924831	924971	141	46	1
SL1344_2580	SL1344_2580	2761263	2761403	141	46	-1
SL1344_3806	rpmH	4066999	4067139	141	46	1
SL1344_4526	yjjY	4876762	4876902	141	46	1
SL1344_P1_0098	SL1344_P1_0098	89972	90112	141	46	-1
SL1344_1495	rpsV	1602344	1602487	144	47	1
SL1344_1767	yobF	1893337	1893480	144	47	-1
SL1344_1769	yobG	1894487	1894630	144	47	-1
STsORF62	STsORF62	1979847	1979990	144	47	-1
SL1344_4451	SL1344_4451	4796506	4796649	144	47	-1
SL1344_4369A	SL1344_4369A	4704250	4704395	146	47,66666667	1
SL1344_0960	SL1344_0960	1067940	1068086	147	48	1
SL1344_1796	SL1344_1796	1919231	1919377	147	48	-1
SL1344_4212	SL1344_4212	4537151	4537297	147	48	1
SL1344_4273	ecnB	4601060	4601206	147	48	1
SL1344_0757	ybhT	844613	844762	150	49	1
SL1344_1203	SL1344_1203	1306474	1306623	150	49	-1
STsORF86	STsORF86	2889839	2889988	150	49	1
SL1344_3134	SL1344_3134	3341439	3341588	150	49	-1
STsORF33	STsORF33	1170002	1170154	153	50	-1
SL1344_2298	SL1344_2298	2437609	2437761	153	50	-1
STsORF104	STsORF104	3593698	3593850	153	50	-1
SL1344_4439	SL1344_4439	4783719	4783871	153	50	1
STsORF47	STsORF47	1492900	1493055	156	51	-1
SL1344_1579	SL1344_1579	1698436	1698591	156	51	-1
SL1344_2596	SL1344_2596	2770636	2770791	156	51	1
SL1344_0948	SL1344_0948	1061156	1061314	159	52	-1
SL1344_1794	SL1344_1794	1918122	1918280	159	52	1
SL1344_2383	SL1344_2383	2531046	2531204	159	52	-1
SL1344_2780	yqaE	2968276	2968434	159	52	-1
STsORF121	STsORF121	4140964	4141122	159	52	1
SL1344_1927	SL1344_1927	2039277	2039438	162	53	-1
STsORF139	STsORF139	4837208	4837369	162	53	1
SL1344_1783	SL1344_1783	1909131	1909295	165	54	-1
STsORF102	STsORF102	3422443	3422607	165	54	1
SL1344_3360	yhdU	3579031	3579195	165	54	1
SL1344_4018	SL1344_4018	4301279	4301443	165	54	1
SL1344_4452	yjiS	4796616	4796780	165	54	1
SL1344_0473	ybaM	538423	538590	168	55	-1
SL1344_1006	rmf	1113963	1114130	168	55	1
SL1344_1059	ymdF	1162526	1162693	168	55	1
SL1344_1802	SL1344_1802	1922651	1922818	168	55	1
SL1344_1989	SL1344_1989	2091704	2091871	168	55	1
SL1344_3438	yhfG	3642429	3642596	168	55	-1
SL1344_3693	rpmG	3943352	3943519	168	55	-1
SL1344_1031	orfX	1136570	1136740	171	56	1
STsORF82	STsORF82	2770784	2770954	171	56	1
SL1344_3447	yhfL	3657451	3657621	171	56	1
SL1344_4383	SL1344_4383	4715479	4715649	171	56	1
SL1344_1128	rpl32	1231988	1232161	174	57	1
STsORF56	STsORF56	1789405	1789578	174	57	-1
SL1344_1737	SL1344_1737	1866419	1866592	174	57	-1
SL1344_2223D	ccmD2	2349107	2349280	174	57	-1
STsORF111	STsORF111	3974196	3974369	174	57	-1
SL1344_4084	SL1344_4084	4381184	4381357	174	57	-1
SL1344_2257	SL1344_2257	2393574	2393750	177	58	-1
SL1344_2789	SL1344_2789	2974158	2974334	177	58	1
STsORF99	STsORF99	3374630	3374806	177	58	-1
SL1344_4272	ecnA	4600776	4600952	177	58	1
SL1344_1629	SL1344_1629	1748418	1748597	180	59	1
SL1344_1752	yoaH	1878474	1878653	180	59	-1
STsORF89	STsORF89	2969532	2969711	180	59	1
SL1344_3389	rpmD	3609286	3609465	180	59	-1
SL1344_0924	ycaR	1031052	1031234	183	60	1
SL1344_1207	yoaG	1308623	1308805	183	60	1
SL1344_1443	SL1344_1443	1548928	1549110	183	60	1
STsORF54	STsORF54	1706543	1706725	183	60	-1
SL1344_1659	yciG	1782411	1782593	183	60	1
SL1344_1797	pagM	1919657	1919839	183	60	-1
SL1344_1209	SL1344_1209	1309798	1309983	186	61	1
SL1344_1916	SL1344_1916	2029188	2029373	186	61	-1
STsORF79	STsORF79	2729703	2729888	186	61	1
SL1344_2806	csrA	2993527	2993712	186	61	-1
SL1344_1301	ydiH	1406918	1407106	189	62	1
STsORF80	STsORF80	2759058	2759246	189	62	-1
SL1344_2700	SL1344_2700	2880885	2881073	189	62	-1
SL1344_4097	SL1344_4097	4398014	4398202	189	62	1
SL1344_P2_0062	traS	53206	53394	189	62	-1
SL1344_0138	yacG	162267	162458	192	63	-1
SL1344_0384	yaiA	440903	441094	192	63	1
SL1344_0430A	SL1344_0430A	489507	489698	192	63	-1
STsORF25	STsORF25	929169	929360	192	63	1
SL1344_0996	gtgF	1099845	1100036	192	63	-1
SL1344_1280	ydiE	1381903	1382094	192	63	-1
SL1344_1575	ynbE	1693815	1694006	192	63	-1
SL1344_1781	yebW	1908047	1908238	192	63	1
SL1344_1927B	SL1344_1927B	2040072	2040263	192	63	-1
STsORF66	STsORF66	2141211	2141402	192	63	-1
SL1344_2468	SL1344_2468	2618927	2619118	192	63	1
SL1344_2585	SL1344_2585	2763714	2763905	192	63	-1
SL1344_3399	rpmC	3613310	3613501	192	63	-1
SL1344_3588	yhjT	3827557	3827748	192	63	1
SL1344_0350	SL1344_0350	400888	401082	195	64	1
SL1344_0624	ybeD	697517	697711	195	64	-1
SL1344_1912	dsrB	2025657	2025851	195	64	-1
STsORF98	STsORF98	3349245	3349439	195	64	-1
SL1344_3411	bfd	3619405	3619599	195	64	-1
SL1344_0589	ybdD	662931	663128	198	65	1
STsORF44	STsORF44	1316925	1317122	198	65	1
SL1344_1269	rpl35	1371625	1371822	198	65	1
SL1344_4150	SL1344_4150	4456672	4456869	198	65	-1
SL1344_4180	pspG	4486463	4486660	198	65	1
STsORF132	STsORF132	4629376	4629573	198	65	1
SL1344_1792	SL1344_1792	1916257	1916457	201	66	-1
SL1344_1799	pagK	1920747	1920947	201	66	1
SL1344_1946	SL1344_1946	2055070	2055270	201	66	-1
SL1344_2447	SL1344_2447	2596565	2596765	201	66	1
SL1344_2499	yfhJ	2675364	2675564	201	66	-1
SL1344_2636	SL1344_2636	2818683	2818883	201	66	1
SL1344_3423	yheV	3628482	3628682	201	66	-1
SL1344_3615	cspA	3857766	3857966	201	66	1
SL1344_4100	thiS	4400255	4400455	201	66	-1
SL1344_0620	tatE	694061	694264	204	67	1
SL1344_1439	ydfZ	1544456	1544659	204	67	-1
SL1344_1584	SL1344_1584	1703907	1704110	204	67	1
SL1344_2218	SL1344_2218	2341136	2341339	204	67	-1
SL1344_2220	SL1344_2220	2342730	2342933	204	67	1
SL1344_2571	SL1344_2571	2753087	2753290	204	67	-1
SL1344_2673	SL1344_2673	2862587	2862790	204	67	-1
SL1344_2683	SL1344_2683	2869282	2869485	204	67	-1
SL1344_2688	SL1344_2688	2870928	2871131	204	67	-1
SL1344_3338	yhcR	3554333	3554536	204	67	-1
SL1344_3586	yhjR	3825541	3825744	204	67	-1
SL1344_3900	yifL	4173567	4173770	204	67	1
SL1344_4462	yjiX	4807850	4808053	204	67	-1
SL1344_P2_0018	SL1344_P2_0018	13893	14096	204	67	1
SL1344_0689	ybfA	773872	774078	207	68	1
SL1344_1330A	SL1344_1330A	1366411	1366617	207	68	1
SL1344_2595	SL1344_2595	2770178	2770384	207	68	-1
SL1344_4323	SL1344_4323	4650817	4651023	207	68	1
SL1344_4339	ytfK	4663965	4664171	207	68	1
SL1344_P3_0005	SL1344_P3_0005	2857	3063	207	68	-1
STsORF35	STsORF35	1174374	1174583	210	69	-1
SL1344_1766	cspC	1893115	1893324	210	69	-1
SL1344_3170	glgS	3380019	3380228	210	69	-1
SL1344_3653	SL1344_3653	3900464	3900673	210	69	-1
SL1344_4144	SL1344_4144	4450661	4450870	210	69	-1
SL1344_P1_0085	SL1344_P1_0085	78078	78287	210	69	-1
SL1344_0534	ybcJ	601976	602188	213	70	-1
SL1344_0617	cspE	692400	692612	213	70	1
SL1344_1182	cspH	1287685	1287897	213	70	-1
SL1344_1322	orf70	1430672	1430884	213	70	1
SL1344_1635	SL1344_1635	1755466	1755678	213	70	1
SL1344_1924	cspB	2036793	2037005	213	70	-1
SL1344_3782A	ccmD1	4037632	4037844	213	70	-1
SL1344_4045	rpmE	4327201	4327413	213	70	1
SL1344_4176	yjbJ	4482781	4482993	213	70	1
SL1344_P1_0092	pefI	85726	85938	213	70	1
SL1344_P3_0006	SL1344_P3_0006	3065	3277	213	70	-1
SL1344_2885A	SL1344_2885A	3070798	3071012	215	70,66666667	-1
SL1344_0045	yaaY	52649	52864	216	71	1
SL1344_0301	SL1344_0301	349152	349367	216	71	1
SL1344_0374	yaiZ	432788	433003	216	71	1
SL1344_0990	SL1344_0990	1095821	1096036	216	71	-1
STsORF45	STsORF45	1345111	1345326	216	71	1
SL1344_1340	ssaG	1446389	1446604	216	71	1
SL1344_1448	marB	1553703	1553918	216	71	-1
SL1344_1494	yddX	1602034	1602249	216	71	1
STsORF58	STsORF58	1866708	1866923	216	71	1
SL1344_2687	nucE2	2870709	2870924	216	71	-1
SL1344_2728	SL1344_2728	2905815	2906030	216	71	1
SL1344_3183	rpsU	3394760	3394975	216	71	1
SL1344_4249	SL1344_4249	4580940	4581155	216	71	-1
SL1344_P1_0015	trbE	17183	17398	216	71	-1
SL1344_0239	yaeP	280289	280507	219	72	-1
SL1344_0466	hha	527619	527837	219	72	-1
SL1344_0575	ybdZ	644735	644953	219	72	1
SL1344_0891	infA	986884	987102	219	72	-1
SL1344_1617	pspD	1737717	1737935	219	72	-1
SL1344_1637	osmB	1756776	1756994	219	72	1
SL1344_2645	gpB	2825697	2825915	219	72	1
SL1344_2665	SL1344_2665	2855616	2855834	219	72	-1
SL1344_2985	ygdR	3186603	3186821	219	72	1
SL1344_3421	slyX	3627391	3627609	219	72	1
SL1344_3430	yheU	3635181	3635399	219	72	1
SL1344_P1_0080	ccdA	73528	73746	219	72	-1
SL1344_0882	cspD	978339	978560	222	73	-1
SL1344_1516	SL1344_1516	1629072	1629293	222	73	-1
SL1344_2480	yfgJ	2648863	2649084	222	73	-1
SL1344_3365	yhdV	3587042	3587263	222	73	1
SL1344_3427	SL1344_3427	3633385	3633606	222	73	1
STsORF117	STsORF117	4066239	4066460	222	73	-1
SL1344_4252	SL1344_4252	4582602	4582823	222	73	-1
STsORF136	STsORF136	4794639	4794860	222	73	1
SL1344_P1_0024	traR	26121	26342	222	73	-1
SL1344_P1_0048	SL1344_P1_0048	43453	43674	222	73	-1
SL1344_P2_0028	yceA	19490	19711	222	73	1
SL1344_0343	SL1344_0343	391194	391418	225	74	1
SL1344_0357	SL1344_0357	410679	410903	225	74	1
SL1344_1125	SL1344_1125	1230337	1230561	225	74	1
SL1344_1619	pspB	1738317	1738541	225	74	-1
SL1344_1878	yecF	1996935	1997159	225	74	1
SL1344_2639	SL1344_2639	2819480	2819704	225	74	1
SL1344_3882	rffH	4154324	4154548	225	74	1
SL1344_P3_0002	SL1344_P3_0002	851	1075	225	74	-1
SL1344_1057	yccJ	1161297	1161524	228	75	-1
SL1344_1089	yceK	1196704	1196931	228	75	1
SL1344_1341	ssaH	1446645	1446872	228	75	1
SL1344_1913	yodD	2025980	2026207	228	75	1
SL1344_2204	yejL	2326377	2326604	228	75	1
SL1344_2389	SL1344_2389	2536497	2536724	228	75	-1
SL1344_2549	SL1344_2549	2730700	2730927	228	75	1
SL1344_2638	SL1344_2638	2819253	2819480	228	75	1
SL1344_2703	SL1344_2703	2884485	2884712	228	75	-1
SL1344_2720	SL1344_2720	2897350	2897577	228	75	1
SL1344_2963	ygdI	3156998	3157225	228	75	-1
SL1344_3012	SL1344_3012	3216274	3216501	228	75	-1
SL1344_3472	feoA	3685412	3685639	228	75	1
SL1344_3525	phd	3749623	3749850	228	75	-1
SL1344_4326	rpsR	4651815	4652042	228	75	1
SL1344_0081	SL1344_0081	93610	93840	231	76	1
SL1344_1393	ydgT	1492387	1492617	231	76	-1
SL1344_1530A	SL1344_1530A	1647836	1648066	231	76	-1
SL1344_1533	yncJ	1650258	1650488	231	76	1
SL1344_1698	chaB	1825609	1825839	231	76	-1
SL1344_1804	SL1344_1804	1923662	1923892	231	76	-1
SL1344_1810	holE	1927622	1927852	231	76	1
STsORF73	STsORF73	2408640	2408870	231	76	-1
SL1344_2438	SL1344_2438	2583279	2583509	231	76	-1
SL1344_0957	SL1344_0957	1065872	1066105	234	77	1
SL1344_1523	ydcY	1636167	1636400	234	77	-1
SL1344_1895	yedF	2012572	2012805	234	77	1
SL1344_2584	SL1344_2584	2763222	2763455	234	77	-1
SL1344_2699	SL1344_2699	2880640	2880873	234	77	-1
SL1344_2714	SL1344_2714	2892957	2893190	234	77	-1
SL1344_3686	yibR	3936997	3937230	234	77	-1
SL1344_P2_0007	yaeA	4555	4788	234	77	1
SL1344_0550A	cusA	618456	618692	237	78	1
SL1344_0553	SL1344_0553	621298	621534	237	78	1
SL1344_1133	acpP	1236255	1236491	237	78	1
SL1344_1311	lpp	1416231	1416467	237	78	-1
SL1344_1375	ydhI	1476301	1476537	237	78	-1
SL1344_2902	SL1344_2902	3087774	3088010	237	78	1
SL1344_3474	yhgG	3687989	3688225	237	78	1
SL1344_3694	rpmB	3943540	3943776	237	78	-1
SL1344_4483	SL1344_4483	4830944	4831180	237	78	1
SL1344_0057	oadG	66654	66893	240	79	-1
SL1344_0944	SL1344_0944	1056421	1056660	240	79	-1
SL1344_1180	msgA	1286319	1286558	240	79	-1
SL1344_1310	lppB	1415909	1416148	240	79	-1
SL1344_1370	ydhL	1471636	1471875	240	79	1
SL1344_1770	SL1344_1770	1894788	1895027	240	79	1
SL1344_1780	SL1344_1780	1907697	1907936	240	79	1
SL1344_1869	yecH	1987502	1987741	240	79	-1
SL1344_2397	SL1344_2397	2545034	2545273	240	79	-1
SL1344_2598	SL1344_2598	2775458	2775697	240	79	1
SL1344_2781	SL1344_2781	2968677	2968916	240	79	1
STsORF100	STsORF100	3379357	3379596	240	79	-1
SL1344_3837	atpE	4100377	4100616	240	79	-1
SL1344_4037	yiiU	4318553	4318792	240	79	1
SL1344_0418	xseB	476902	477144	243	80	-1
SL1344_1254	cedA	1356584	1356826	243	80	1
SL1344_1330	ssaE	1439947	1440189	243	80	1
SL1344_1927A	SL1344_1927A	2039416	2039658	243	80	-1
SL1344_1975	SL1344_1975	2078541	2078783	243	80	1
SL1344_2368	SL1344_2368	2511513	2511755	243	80	-1
SL1344_2455	SL1344_2455	2603872	2604114	243	80	-1
SL1344_2552A	SL1344_2552A	2734839	2735081	243	80	-1
SL1344_2717	SL1344_2717	2895025	2895267	243	80	-1
SL1344_2853	prgI	3038651	3038893	243	80	-1
SL1344_3354	yhdT	3573454	3573696	243	80	1
SL1344_3539	yhhM	3762546	3762788	243	80	-1
SL1344_4158	yjbE	4463546	4463788	243	80	1
SL1344_4379	relB	4712031	4712273	243	80	1
SL1344_P1_0040	SL1344_P1_0040	38642	38884	243	80	-1
SL1344_0743	dcoC	829124	829369	246	81	1
SL1344_1099	dinI	1204337	1204582	246	81	-1
SL1344_2162	b2145	2278659	2278904	246	81	1
SL1344_2790	nrdH	2974433	2974678	246	81	1
STsORF92	STsORF92	2999268	2999513	246	81	1
SL1344_3543	yhhP	3767831	3768076	246	81	-1
SL1344_P1_0026	trbD	26989	27234	246	81	-1
SL1344_P1_0102	repC	92242	92487	246	81	-1
SL1344_P2_0024	yccA	17236	17481	246	81	1
SL1344_P2_0082	shfB2	70385	70630	246	81	-1
SL1344_0570	ybdJ	638851	639099	249	82	-1
SL1344_0943	SL1344_0943	1056132	1056380	249	82	-1
SL1344_1202	SL1344_1202	1306147	1306395	249	82	-1
SL1344_1210	yeaQ	1309991	1310239	249	82	1
SL1344_1342	ssaI	1446884	1447132	249	82	1
SL1344_1480	SL1344_1480	1583692	1583940	249	82	-1
SL1344_2343	SL1344_2343	2484214	2484462	249	82	1
SL1344_2583	SL1344_2583	2762857	2763105	249	82	-1
SL1344_2649	rps16	2827828	2828076	249	82	-1
SL1344_2707	apl	2886495	2886743	249	82	-1
SL1344_2860	iacP	3046988	3047236	249	82	-1
SL1344_3117	hybG	3327905	3328153	249	82	-1
SL1344_1789	SL1344_1789	1913799	1914048	250	82,33333333	1
SL1344_3590	SL1344_3590	3829888	3830138	251	82,66666667	1
SL1344_0781	moaD	871891	872142	252	83	1
SL1344_1211	yaoF	1310672	1310923	252	83	1
SL1344_1647	yciN	1769645	1769896	252	83	1
SL1344_3668	grxC	3917861	3918112	252	83	-1
SL1344_P2_0081	shfB	70132	70383	252	83	1
SL1344_0238	rof	280042	280296	255	84	-1
SL1344_1224A	SL1344_1224A	1325211	1325465	255	84	-1
SL1344_1593	ynaJ	1713132	1713386	255	84	-1
SL1344_1603	SL1344_1603	1723821	1724075	255	84	-1
SL1344_1725	ymgE	1853698	1853952	255	84	-1
SL1344_1985	SL1344_1985	2088651	2088905	255	84	-1
SL1344_2187	SL1344_2187	2307862	2308116	255	84	-1
SL1344_2248	yfaE	2382644	2382898	255	84	1
SL1344_3325	SL1344_3325	3543257	3543511	255	84	-1
SL1344_3398	rpsQ	3613056	3613310	255	84	-1
SL1344_3927	tatA	4202049	4202303	255	84	1
SL1344_P2_0098	pilI	82908	83162	255	84	-1
SL1344_1098	bssS	1203793	1204050	258	85	-1
SL1344_1151	ycfR	1253570	1253827	258	85	1
SL1344_2271	SL1344_2271	2408405	2408662	258	85	1
SL1344_2273	pmrD	2409034	2409291	258	85	-1
SL1344_2394	ptsH	2542302	2542559	258	85	1
SL1344_2935	SL1344_2935	3123641	3123898	258	85	-1
SL1344_3275	rpmA	3493918	3494175	258	85	-1
SL1344_3367	yrdB	3594494	3594751	258	85	-1
SL1344_3808	SL1344_3808	4067479	4067736	258	85	1
SL1344_4431	SL1344_4431	4776160	4776417	258	85	-1
SL1344_0462	rpmE2	525840	526100	261	86	1
SL1344_0799	ybiJ	889717	889977	261	86	-1
SL1344_0949	SL1344_0949	1061307	1061567	261	86	-1
SL1344_2467	SL1344_2467	2618819	2619079	261	86	-1
SL1344_2538	yfhL	2719407	2719667	261	86	1
STsORF87	STsORF87	2893728	2893988	261	86	-1
SL1344_2868	spaQ	3055961	3056221	261	86	-1
SL1344_3484	SL1344_3484	3701493	3701753	261	86	-1
SL1344_3862	ilvM	4132164	4132424	261	86	1
SL1344_0044	rpsT	52280	52543	264	87	-1
SL1344_0286A	SL1344_0286A	336117	336380	264	87	1
SL1344_0848	grxA	944335	944598	264	87	-1
SL1344_0979	SL1344_0979	1082233	1082496	264	87	1
SL1344_1183	pagD	1288029	1288292	264	87	-1
SL1344_1527	ydcX	1643115	1643378	264	87	-1
SL1344_1801	SL1344_1801	1922080	1922343	264	87	-1
SL1344_2230	napD	2356617	2356880	264	87	-1
SL1344_3333	yhcN	3550283	3550546	264	87	1
