locus tag	gene name	function	log2FC	logCPM	PValue	q.value
SL1344_0051	SL1344_0051	conserved hypothetical protein	0.368	6.055	0.097	0.477
SL1344_0052	rihC	hypothetical nucleoside hydrolase (IUNH family)	0.246	5.118	0.339	0.790
SL1344_0053	citB2	transcriptional regulatory protein	-0.009	7.976	0.950	1.000
SL1344_0054	citA2	two-component sensor kinase	0.073	9.459	0.511	0.893
SL1344_0055	SL1344_0055	oxaloacetate decarboxylase beta chain (ec 4.1.1.3)	0.703	5.617	0.001	0.011
SL1344_0056	SL1344_0056	oxaloacetate decarboxylase alpha chain	0.332	1.593	0.763	0.985
SL1344_0057	oadG	oxaloacetate decarboxylase gamma chain	-1.484	2.710	0.021	0.180
SL1344_0058	SL1344_0058	citrate-sodium symporter	-0.069	7.381	0.615	0.947
SL1344_0059	citC2	[citrate (PRO-3S)-lyase] ligase	0.039	6.606	0.808	0.998
SL1344_0060	citD2	citrate lyase acyl carrier protein	-0.080	4.377	0.871	1.000
SL1344_0061	citE2	citrate lyase beta chain	0.042	6.068	0.830	1.000
SL1344_0062	citF2	citrate lyase alpha chain	0.150	6.571	0.346	0.796
SL1344_0063	citX2	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	0.109	5.406	0.652	0.960
SL1344_0064	citG2	triphosphoribosyl-dephospho-CoA synthase	0.622	5.290	0.012	0.120
SL1344_0065	dapB	dihydrodipicolinate reductase	0.223	2.511	0.864	1.000
SL1344_0066A	SL1344_0066A	pseudogene	0.529	3.178	0.355	0.800
SL1344_0067	carA	carbamoyl-phosphate synthase small chain	-1.900	5.580	0.000	0.000
SL1344_0068	carB	carbamoyl-phosphate synthase large chain	-0.281	8.225	0.020	0.179
SL1344_0069	caiF	transcriptional activator CaiF	-0.123	7.556	0.344	0.794
SL1344_0070	caiE	carnitine operon protein CaiE	-0.182	5.766	0.354	0.800
SL1344_0071	caiD	carnitine racemase	0.056	6.908	0.688	0.968
SL1344_0072	caiC	probable crotonobetaine/carnitine-CoA ligase	-0.008	8.078	0.966	1.000
SL1344_0073	caiB	pseudogene	0.155	6.920	0.330	0.785
SL1344_0074	caiA	probable carnitine operon oxidoreductase CaiA	0.457	5.858	0.046	0.312
SL1344_0075	caiT	probable carnitine transporter	0.108	8.071	0.388	0.820
SL1344_0076	fixA	probable flavoprotein subunit	-0.144	6.608	0.362	0.803
SL1344_0077	fixB	probable flavoprotein subunit	-0.032	6.607	0.863	1.000
SL1344_0078	fixC	probable flavoprotein subunit	1.221	4.985	0.000	0.002
SL1344_0079	fixX	ferredoxin like protein FixX	-0.065	4.631	0.884	1.000
SL1344_0080	yaaU	hypothetical metabolite transport protein	-0.006	7.140	0.960	1.000
SL1344_0081	SL1344_0081	hypothetical lipoprotein	0.216	5.208	0.368	0.803
SL1344_0082	SL1344_0082	probable secreted protein	-0.134	7.589	0.324	0.778
SL1344_0083	SL1344_0083	probable secreted protein	-0.124	7.149	0.365	0.803
SL1344_0083A	SL1344_0083A	pseudogene	0.063	6.614	0.706	0.972
SL1344_0084	SL1344_0084	hypothetical sulfatase	-0.024	9.569	0.838	1.000
SL1344_0085	SL1344_0085	pseudogene	-0.141	4.423	0.641	0.956
SL1344_0086	yabF	hypothetical NAD(P)H oxidoreductase	0.061	5.259	0.838	1.000
SL1344_0087	kefC	glutathione-regulated potassium-efflux system protein KefC	-0.080	5.927	0.736	0.976
SL1344_0089	apaH	bis(5'-nucleosyl)-tetraphosphatase	-3.354	2.331	0.001	0.012
SL1344_0091	ksgA	dimethyladenosine transferase	-0.938	5.205	0.000	0.002
SL1344_0092	pdxAa	pyridoxal phosphate biosynthetic protein PdxA	0.128	4.123	0.715	0.975
SL1344_0093	surA	survival protein SurA precursor	-0.206	4.036	0.678	0.964
SL1344_0095	djlA	DnaJ-like protein	-0.381	5.487	0.081	0.432
SL1344_0096	rluA	ribosomal large subunit pseudouridine synthase A	0.308	5.672	0.117	0.523
SL1344_0097	hepA	probable ATP-dependent helicase HepA	0.362	7.797	0.013	0.125
SL1344_0098	polB	DNA polymerase II	0.009	6.739	0.974	1.000
SL1344_0099	SL1344_0099	probable secreted protein	-0.011	7.664	0.971	1.000
SL1344_0099A	SL1344_0099A	pseudogene	-0.044	5.008	0.949	1.000
SL1344_0100	SL1344_0100	hypothetical protein	-0.188	6.901	0.206	0.661
SL1344_0101	araD	L-ribulose-5-phosphate 4-epimerase	-0.012	5.669	1.000	1.000
SL1344_0102	araA	L-arabinose isomerase	0.381	5.097	0.128	0.543
SL1344_0103	araB	Ribulokinase	0.031	6.691	0.840	1.000
SL1344_0104	araC	arabinose operon regulatory protein	-0.207	6.146	0.239	0.689
SL1344_0105	yabI	DedA family integral membrane protein	-0.104	5.646	0.655	0.960
SL1344_0106	thiQ	hypothetical ABC transporter	-0.318	5.959	0.084	0.436
SL1344_0107	thiP	hypothetical ABC transporter integral membrane protein	0.119	6.691	0.399	0.826
SL1344_0108	tbpA	thiamine-binding periplasmic protein precursor	0.075	5.835	0.711	0.973
SL1344_0109	yabN	hypothetical ABC transporter periplasmic solute binding protein	-0.081	6.046	0.641	0.956
SL1344_0110	leuD	3-isopropylmalate dehydratase small subunit	-0.019	5.997	0.935	1.000
SL1344_0111	leuC	3-isopropylmalate dehydratase large subunit	-0.310	6.320	0.073	0.408
SL1344_0112	leuB	3-isopropylmalate dehydrogenase	-0.094	7.264	0.546	0.910
SL1344_0113	leuA	2-isopropylmalate synthase	-0.049	7.899	0.774	0.988
SL1344_0114	leuL	leu operon leader peptide	0.056	7.559	0.678	0.964
SL1344_0115	leuO	probable activator protein in leuABCD operon	0.042	8.995	0.716	0.975
SL1344_0116	ilvI	acetolactate synthase isozyme III large subunit	-0.132	6.909	0.352	0.799
SL1344_0117	ilvH	acetolactate synthase isozyme III small subunit	0.052	4.456	0.948	1.000
SL1344_0118	fruR	fructose repressor	-0.757	4.967	0.005	0.058
SL1344_0119	mraZ	conserved hypothetical protein.	0.091	4.437	0.894	1.000
SL1344_0120	mraW	S-adenosyl-methyltransferase	-0.381	5.215	0.213	0.671
SL1344_0130	ddlB	D-alanine--D-alanine ligase	-0.677	5.190	0.018	0.160
SL1344_0134	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	-0.330	4.347	0.335	0.789
SL1344_0135	yacA	conserved hypothetical protein	-0.288	3.532	0.581	0.932
SL1344_0136	secA	preprotein translocase SecA subunit	-1.134	1.231	0.696	0.970
SL1344_0137	mutT	7,8-dihydro-8-oxoguanine-triphosphatase	0.257	2.706	0.636	0.956
SL1344_0139	yacF	conserved hypothetical protein	0.000	5.929	1.000	1.000
SL1344_0140	coaE	Dephospho-CoA kinase	0.013	1.672	1.000	1.000
SL1344_0141	guaC	GMP reductase	0.258	6.590	0.087	0.442
SL1344_0142	pilC	competence gene-DNA binding and transport	-0.122	6.897	0.425	0.841
SL1344_0143	pilB	competence gene-DNA binding and transport	0.160	7.235	0.289	0.740
SL1344_0144	pilA	competence gene-DNA binding and transport	-0.183	5.702	0.362	0.803
SL1344_0145	nadC	nicotinate-nucleotide pyrophosphorylase	0.547	3.813	0.187	0.638
SL1344_0146	ampD	AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)	-0.027	6.155	0.943	1.000
SL1344_0147	ampE	AmpE protein	0.114	7.459	0.398	0.826
SL1344_0148	SL1344_0148	putatuve glycosysl hydrolase	-0.080	4.953	0.800	0.996
SL1344_0149	SL1344_0149	hypothetical symporter	-0.016	7.092	0.959	1.000
SL1344_0150	aroP	aromatic amino acid transport protein AroP	-0.120	7.414	0.386	0.819
SL1344_0151	pdhR	pyruvate dehydrogenase complex repressor	0.025	4.832	0.948	1.000
SL1344_0152	aceE	pyruvate dehydrogenase E1 component	-3.255	1.674	0.009	0.097
SL1344_0153	aceF	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase	-4.205	1.009	0.132	0.546
SL1344_0155	SL1344_0155	probable secreted protein	0.170	6.140	0.400	0.826
SL1344_0156	SL1344_0156	probable secreted protein	-0.219	5.855	0.255	0.701
SL1344_0157	yacH	pseudogene	0.086	7.202	0.555	0.917
SL1344_0159	acnB	aconitate hydratase 2 (citrate hydro-lyase 2)	-0.315	5.406	0.213	0.670
SL1344_0160	SL1344_0160	HNH endonuclease	0.079	6.409	0.624	0.952
SL1344_0161	yacL	conserved hypothetical protein	0.063	6.835	0.666	0.963
SL1344_0162	kdgT	2-keto-3-deoxygluconate permease	-0.047	6.187	0.805	0.997
SL1344_0163	SL1344_0163	conserved hypothetical protein	-0.013	7.226	0.942	1.000
SL1344_0164	pdxAb	4-hydroxythreonine-4-phosphate dehydrogenase	0.084	4.584	0.824	1.000
SL1344_0165	SL1344_0165	hypothetical transcriptional regulator	0.393	3.916	0.404	0.830
SL1344_0166	speD	S-adenosylmethionine decarboxylase, proenzyme	-0.285	5.868	0.312	0.765
SL1344_0167	speE	Spermidine synthase	0.006	6.338	0.969	1.000
SL1344_0168	yacC	conserved hypothetical protein	0.014	4.897	1.000	1.000
SL1344_0169	cueO	possible multicopper oxidase precursor	-0.016	7.400	0.969	1.000
SL1344_0170	gcd	glucose dehydrogenase	0.104	7.474	0.441	0.851
SL1344_0171	hpt	hypoxanthine phosphoribosyltransferase	-0.017	5.653	0.929	1.000
SL1344_0173	yadG	hypothetical ABC transporter ATP-binding protein	0.116	5.528	0.561	0.923
SL1344_0174	yadH	ABC transporter integral membrane protein	0.034	5.043	0.903	1.000
SL1344_0175	stiH	fimbrial protein	0.051	6.301	0.783	0.990
SL1344_0176	stiC	fimbrial usher protein	-0.065	7.767	0.639	0.956
SL1344_0177	stiB	fimbrial usher protein	-0.098	7.458	0.470	0.865
SL1344_0178	stiA	fimbrial subunit	-0.065	7.731	0.614	0.947
SL1344_0179	yadI	hypothetical PTS system IIA component	0.152	7.569	0.247	0.698
SL1344_0180	yadE	conserved hypothetical protein	-0.127	7.283	0.375	0.810
SL1344_0181	panD	aspartate 1-decarboxylase	0.495	3.960	0.174	0.618
SL1344_0182	panC	Pantoate--beta-alanine ligase	-0.217	4.509	0.568	0.927
SL1344_0183	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	0.202	5.168	0.426	0.841
SL1344_0184	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	-0.292	2.914	0.660	0.962
SL1344_0185	pcnB	poly(A) polymerase	0.586	3.120	0.301	0.753
SL1344_0186	yadB	glutamyl-tRNA synthetase-related protein	0.095	6.346	0.647	0.958
SL1344_0187	dksA	dosage-dependent dnaK suppressor protein	-0.222	1.745	1.000	1.000
SL1344_0188	sfsA	Sugar fermentation stimulation protein homolog.	0.096	6.411	0.569	0.927
SL1344_0190	hrpB	ATP-dependent helicase HrpB	0.044	7.392	0.743	0.976
SL1344_0191	mrcB	penicillin-binding protein 1b; peptidoglycan synthetase	0.391	7.243	0.008	0.085
SL1344_0192	fhuA	ferrichrome-iron receptor	0.059	7.117	0.730	0.975
SL1344_0193	fhuC	ferrichrome transport ATP-binding protein FhuC	0.010	5.355	1.000	1.000
SL1344_0194	fhuD	ferrichrome-binding periplasmic protein precursor	-0.206	6.620	0.183	0.631
SL1344_0195	fhuB	ferrichrome transport protein FhuB precursor	-0.301	4.244	0.473	0.867
SL1344_0196	stfA	major fimbrial subunit stfa (hypothetical fimbrial subunit)	-0.143	8.197	0.246	0.697
SL1344_0197	stfC	outer membrane usher protein stfc (hypothetical fimbrial outer membrane usher)	0.020	7.871	0.871	1.000
SL1344_0198	stfD	periplasmic fimbrial chaperone stfd	0.021	6.410	0.942	1.000
SL1344_0199	stfE	minor fimbrial subunit stfe (putaive minor fimbrial subunit)	-0.047	6.070	0.893	1.000
SL1344_0200	stfF	minor fimbrial subunit stff	-0.238	3.633	0.676	0.963
SL1344_0201	stfG	hypothetical minor fimbrial subunit	0.274	5.638	0.239	0.689
SL1344_0202	SL1344_0202	hypothetical exported protein	0.255	6.385	0.121	0.531
SL1344_0204	clcA	hypothetical membrane protein	-0.319	7.483	0.015	0.136
SL1344_0206	yadS	hypothetical membrane protein	0.080	4.330	0.870	1.000
SL1344_0207	btuF	Vitamin B12 transport protein btuF precursor.	0.176	6.157	0.353	0.799
SL1344_0209	dgt	Deoxyguanosinetriphosphate triphosphohydrolase	-0.073	9.523	0.515	0.895
SL1344_0210	htrA	protease DO precursor; heat shock protein HtrA	-0.056	7.734	0.725	0.975
SL1344_0211	cdaR	conserved hypothetical protein	0.152	6.300	0.354	0.800
SL1344_0212	yaeH	conserved hypothetical protein	-0.094	5.634	0.677	0.964
SL1344_0213	SL1344_0213	hypothetical inner membrane protein	0.050	7.143	0.724	0.975
SL1344_0214	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	0.473	1.423	0.736	0.976
SL1344_0215	glnD	[Protein-PII] uridylyltransferase	-0.502	3.835	0.232	0.682
SL1344_0222	uppS	undecaprenyl pyrophosphate synthetase	-0.677	2.179	0.391	0.822
SL1344_0224	yaeL	hypothetical membrane protein	-5.953	1.885	0.000	0.003
SL1344_0226	hlpA	outer membrane protein OmpH precursor	0.080	1.511	1.000	1.000
SL1344_0227	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	-0.455	2.980	0.381	0.814
SL1344_0230	lpxB	Lipid-A-disaccharide synthase	0.896	2.176	0.303	0.755
SL1344_0231	rnhB	ribonuclease HII	0.160	4.478	0.633	0.954
SL1344_0234	SL1344_0234	hypothetical secreted chitinase	-0.073	6.661	0.646	0.957
SL1344_0235	ldcC	lysine decarboxylase	-0.188	6.803	0.200	0.651
SL1344_0236	yaeR	conserved hypothetical protein	-0.153	4.595	0.654	0.960
SL1344_0238	rof	ROF protein	0.249	2.882	0.757	0.985
SL1344_0239	yaeP	Hypothetical UPF0253 protein <ORFName>.	-0.122	4.669	0.736	0.976
SL1344_0240	yaeQ	conserved hypothetical protein	-0.210	5.307	0.357	0.801
SL1344_0241	yaeJ	hypothetical release factor	-0.361	3.382	0.523	0.901
SL1344_0242	cutF	copper homeostasis protein CutF precursor (lipoprotein nlpE)	-0.267	5.695	0.245	0.695
SL1344_0243	proS	prolyl-tRNA synthetase	-0.189	3.981	0.667	0.963
SL1344_0244	yaeB	conserved hypothetical protein	-0.274	4.391	0.477	0.870
SL1344_0245	rcsF	RcsF protein	-0.062	6.214	0.786	0.990
SL1344_0246	metQ	hypothetical lipoprotein precursor	0.805	6.940	0.000	0.000
SL1344_0247	yaeE	hypothetical ABC transporter permease protein	0.992	7.435	0.000	0.000
SL1344_0248	abc	hypothetical ABC transporter ATP-binding protein	0.847	7.324	0.000	0.001
SL1344_0249	yaeD	conserved hypothetical protein	-0.703	2.425	0.347	0.796
SL1344_0250	dkgB	hypothetical oxidoreductase	0.204	4.829	0.466	0.862
SL1344_0251	yafC	hypothetical transcriptional regulator	0.478	4.287	0.214	0.673
SL1344_0252	SL1344_0252	hypothetical drug efflux protein	-0.018	6.273	0.938	1.000
SL1344_0253	yafD	hypothetical protein	-0.187	3.532	0.726	0.975
SL1344_0254	yafE	hypothetical methyltransferase	0.182	5.177	0.459	0.861
SL1344_0255	dniR	membrane-bound lytic murein transglycosylase d precursor	0.050	5.538	0.876	1.000
SL1344_0256	gloB	probable hydroxyacylglutathione hydrolase	0.066	5.726	0.764	0.985
SL1344_0257	yafS	conserved hypothetical protein	0.362	4.676	0.241	0.691
SL1344_0258	rnhA	ribonuclease H	1.060	2.280	0.143	0.562
SL1344_0260	sciA	conserved hypothetical protein (SPI-6 associated)	0.644	3.835	0.261	0.708
SL1344_0261	sciB	conserved hypothetical protein (SPI-6 associated)	0.021	5.843	0.926	1.000
SL1344_0262	sciC	conserved hypothetical protein (SPI-6 associated)	-0.016	7.013	0.913	1.000
SL1344_0263	sciD	conserved hypothetical protein (SPI-6 associated)	0.042	6.494	0.805	0.997
SL1344_0264	sciE	conserved hypothetical protein (SPI-6 associated)	0.451	4.112	0.347	0.796
SL1344_0265	sciF	conserved hypothetical protein (SPI-6 associated)	0.108	7.452	0.412	0.835
SL1344_0266	sciG	conserved hypothetical protein (SPI-6 associated)	0.068	7.367	0.680	0.965
SL1344_0267	sciH	conserved hypothetical protein (SPI-6 associated)	0.169	3.672	0.768	0.988
SL1344_0268	sciI	conserved hypothetical protein (SPI-6 associated)	-0.093	6.251	0.600	0.942
SL1344_0270	sciJ	conserved hypothetical protein (SPI-6 associated)	-0.098	8.134	0.444	0.853
SL1344_0271	sciK	conserved hypothetical protein (SPI-6 associated)	0.041	6.611	0.807	0.998
SL1344_0272	SL1344_0272	conserved hypothetical protein (SPI-6 associated)	0.211	7.285	0.137	0.554
SL1344_0273	SL1344_0273	conserved hypothetical protein (SPI-6 associated)	0.192	4.724	0.533	0.902
SL1344_0274	sciK1	conserved hypothetical protein (SPI-6 associated)	0.328	4.944	0.237	0.687
SL1344_0275	sciN	lipoprotein (SPI-6 associated)	-0.116	2.914	1.000	1.000
SL1344_0276	sciO	conserved hypothetical protein (SPI-6 associated)	-0.138	6.100	0.421	0.839
SL1344_0277	sciP	hypothetical membrane protein (SPI-6 associated)	0.301	5.774	0.120	0.531
SL1344_0278	sciQ	hypothetical membrane protein, virulence associated protein	0.011	7.717	0.973	1.000
SL1344_0279	sciR	conserved hypothetical protein (SPI-6 associated)	-0.203	5.959	0.319	0.775
SL1344_0280	sciS	probable IcmF-related integral membrane ATP-binding protein, virulence associated protein	0.054	8.140	0.675	0.963
SL1344_0281	sciT	conserved hypothetical protein (SPI-6 associated)	-0.093	6.716	0.528	0.902
SL1344_0282	sciU	probable secreted protein	0.103	7.118	0.449	0.855
SL1344_0283	sciV	conserved hypothetical protein (SPI-6 associated)	0.044	6.880	0.777	0.990
SL1344_0284	vgrS	Type VI secretion protein	0.027	7.412	0.859	1.000
SL1344_0285	sciW	conserved hypothetical protein (SPI-6 associated)	0.360	4.809	0.222	0.676
SL1344_0286	SL1344_0286	Rhs-family protein (SPI-6 associated)	0.058	8.149	0.657	0.961
SL1344_0286A	SL1344_0286A	conserved hypothetical protein (SPI-6 associated)	0.062	6.159	0.773	0.988
SL1344_0286B	SL1344_0286B	pseudogene	0.168	7.852	0.203	0.655
SL1344_0288	sciX	conserved hypothetical protein (SPI-6 associated)	0.500	4.005	0.221	0.676
SL1344_0289	sciY	pseudogene	0.529	3.376	0.323	0.777
SL1344_0291	SL1344_0291	hypothetical protein	0.037	5.835	0.849	1.000
SL1344_0292	SL1344_0292	pseudogene	-0.039	7.906	0.755	0.984
SL1344_0293	SL1344_0293	pseudogene	0.238	5.598	0.306	0.757
SL1344_0294	SL1344_0294	pseudogene	0.058	6.637	0.738	0.976
SL1344_0295	safA	salmonella atypical fimbria lipoprotein	-0.078	8.001	0.532	0.902
SL1344_0296	safB	salmonella atypical fimbria chaperone	-0.009	6.969	1.000	1.000
SL1344_0297	safC	salmonella atypical fimbria outer membrane usher	-0.144	8.341	0.253	0.701
SL1344_0298	safD	fimbrial structural subunit	0.149	4.593	0.655	0.960
